ID_BATI;LIBELLE_BATI;NUMERO_ADRESSE;ADRESSE;COMPLEMENT_ADRESSE;CODE_POSTAL;COMMUNE;CODE_INSEE;COORD_X_L93;COORD_Y_L93
13;ARETTE - Dépôt UTD (Cabane verte); ;Guillers et la Coume d'Isseaux; ;64570;ARETTE;64040;395612.93;6218770.37
14;ARETTE - Dépôt UTD (Chousse); ;Couillarsut; ;64570;ARETTE;64040;394264.94;6220240.29
17;ARETTE - Permanence SDSEI (Loubens); ;Avenue Marcel Loubens; ;64570;ARETTE;64040;397314.72;6228894.63
18;ARTHEZ-DE-BEARN - Antenne UTD (Geüle); ;Chemin de la Geüle; ;64370;ARTHEZ-DE-BEARN;64057;406630.07;6267516.73
19;ARTHEZ-DE-BEARN - Collège Corisande d'Andoins (Foirail);5;route du Foirail; ;64370;ARTHEZ-DE-BEARN;64057;407438.87;6269432.05
20;ARTHEZ-DE-BEARN - Permanence SDSEI (Mairie);18;rue Carrère; ;64370;ARTHEZ-DE-BEARN;64057;407358.22;6269579.14
21;ARTIGUELOUTAN - Dépôt (RD 817);9;route nationale;RD817;64420;ARTIGUELOUTAN;64059;435701.97;6248272.4
22;ARTIGUELOUTAN - Dépôt Tram (RD 817);1;route nationale;RD817;64420;ARTIGUELOUTAN;64059;436740.59;6247869.02
23;ARTIX - Caserne Pompiers (Baradat);236;rue de Baradat; ;64170;ARTIX;64061;410589.73;6262656.44
24;ARTIX - Collège Jean Moulin (Galupe);120;rue du Galupe; ;64170;ARTIX;64061;410468.96;6261988.4
25;ARTIX - Permanence SDSEI (Mairie);5;place du Général de Gaulle; ;64170;ARTIX;64061;410539.3;6261869.41
26;ARUDY - Collège d'Ossau (Ecoles); ;Avenue des Ecoles; ;64260;ARUDY;64062;420682.32;6228625.63
27;ARUDY- Antenne SDSEI (Escoubet);2;rue Escoubet; ;64260;ARUDY;64062;420671.86;6228928.58
28;ARZACQ-ARRAZIGUET - Collège (RD 944); ;Marcadieu - RD 944; ;64410;ARZACQ-ARRAZIGUET;64063;424573.34;6276556.44
30;ARZACQ-ARRAZIGUET - Permanence SDSEI (L'Estanquet); ;Marcadieu - RD 944; ;64410;ARZACQ-ARRAZIGUET;64063;424425.29;6276616.91
31;ASCAIN - Permanence SDSEI (Loti); ;Place Pierre Loti;Centre Social Osasuntégia;64310;ASCAIN;64065;325273.47;6260508.64
